Chr	Pos	Gene	Adipose	Blood	Muscle
X	135890182	SAGE1	0	0	NA
X	135960588	MMGT1	0.047619048	0	0.043478261
X	135973841	SLC9A6	0.060606061	0.027777778	0
X	136146702	FHL1	0.25	0.081081081	0.285714286
X	136213220	MAP7D3	0.114285714	0.052631579	0.073170732
X	136300963	ADGRG4	0.034482759	0	0
X	136487947	BRS3	0	0	0
X	136497079	HTATSF1	0.03030303	0.028571429	0.055555556
X	136532215	VGLL1	0	0	0
X	136648158	CD40LG	0.057142857	0.1	0
X	136665547	ARHGEF6	0.222222222	0.073170732	0.142857143
X	136848004	RBMX	0.027777778	0.073170732	0.047619048
X	137023929	GPR101	0	0	0
X	137566127	ZIC3	NA	0	NA
X	138614727	FGF13	0.111111111	0	0.047619048
X	139530739	F9	0	0	0
X	139581770	MCF2	0.03030303	0	0
X	139726346	ATP11C	0.111111111	0.12195122	0.048780488
X	139955728	CXorf66	0	0	0
X	140091678	HAPSTR2	NA	0	NA
X	140502985	SOX3	0	0	0
X	141002594	SPANXB1	NA	NA	0
X	141111605	LDOC1	0	0.025641026	0
X	141838316	MAGEC3	0	0	0
X	141903894	MAGEC1	NA	0	NA
X	142202342	MAGEC2	0	NA	NA
X	143025928	SPANXN4	0	0	0
X	143508735	SPANXN3	0	0	0
X	143622790	SLITRK4	0.038461538	0	0.09375
X	143711955	SPANXN2	0	0	0
X	143884071	UBE2NL	0	0	0
X	145247503	SPANXN1	0	0	0
X	145817829	SLITRK2	0	NA	0
X	147911919	FMR1	0.083333333	0.048780488	0.023809524
X	147981337	FMR1NB	0	0	0
X	148500617	AFF2	0.028571429	0	0.029411765
X	149476988	IDS	0.083333333	0.048780488	0.048780488
X	149540355	EOLA1	0	0.03125	0
X	149596556	TMEM185A	0.028571429	0.025	0
X	149688228	MAGEA11	0	0	0
X	149881141	MAGEA8	0	0.25	0
X	149929527	EOLA2	0	0	0
X	150361422	MAMLD1	0.055555556	0.024390244	0.023809524
X	150568417	MTM1	0	0	0.048780488
X	150692971	MTMR1	0.085714286	0.025	0
X	150766336	CD99L2	0.057142857	0	0.048780488
X	150980509	HMGB3	0	0.05	0
X	151176584	GPR50	0	0	0
X	151396515	VMA21	0.121212121	0.052631579	0.108108108
X	151563675	PASD1	0	0	0
X	151694607	PRRG3	0	0	0
X	151716035	FATE1	0	0	0
X	151734746	CNGA2	0	0	0
X	151912495	MAGEA4	NA	0	0
X	151953124	GABRE	0.055555556	0	0.023809524
X	152133310	MAGEA10	0	0	0
X	152166234	GABRA3	0.03030303	0	0
X	152637895	GABRQ	NA	0	0
X	152727484	CSAG1	0	0	0
X	152733757	MAGEA12	0	0	0
X	152826994	CETN2	0.045454545	0.090909091	0
X	152830967	NSDHL	0	0	0
X	152898067	ZNF185	0.083333333	0.097560976	0
X	152988824	PNMA5	0	0	0
X	153056409	PNMA3	0	0.027027027	0
X	153072454	PNMA6A	0.04	0	0
X	153179284	MAGEA1	NA	0	NA
X	153317680	PNMA6F	NA	0.25	NA
X	153334147	ZNF275	0.057142857	0.048780488	0.025641026
X	153395639	PNMA6E	0	0	NA
X	153411472	ZFP92	0	0.025641026	0.027027027
X	153444473	TREX2	0	0.025641026	0
X	153447668	HAUS7	0	0.025641026	0
X	153494980	BGN	0.029411765	0	0
X	153517642	ATP2B3	0	0	0
X	153587925	CCNQ	0	0.027027027	0
X	153642492	DUSP9	NA	0	0
X	153669733	PNCK	0	0	0
X	153687926	SLC6A8	0.029411765	0.028571429	0.025641026
X	153700492	BCAP31	0	0.027027027	0
X	153724856	ABCD1	0.0625	0.026315789	0.027027027
X	153764196	PLXNB3	0	0	0
X	153776412	SRPK3	0	0	0.03030303
X	153785766	IDH3G	0	0.083333333	0.027027027
X	153793516	SSR4	0	0.03125	0.03125
X	153802166	PDZD4	0.1	0.085714286	0.043478261
X	153861514	L1CAM	0	0	0
X	153902531	AVPR2	0	0	0
X	153907367	ARHGAP4	0.085714286	0.125	0.128205128
X	153929225	NAA10	0.1	0.382352941	0.142857143
X	153935269	RENBP	0.03030303	0	0
X	153947557	HCFC1	0.103448276	0.151515152	0.176470588
X	153972754	TMEM187	0.034482759	0.085714286	0
X	154010506	IRAK1	0	0	0.054054054
X	154021573	MECP2	0.117647059	0.025	0.048780488
X	154144243	OPN1LW	NA	0	NA
X	154271265	TEX28	NA	0	NA
X	154295795	TKTL1	0	0.078947368	0.034482759
X	154348524	FLNA	0.121212121	0.105263158	0.230769231
X	154379273	EMD	0	0	0
X	154389955	RPL10	0.066666667	0.028571429	0.027777778
X	154401236	DNASE1L1	0.066666667	0.029411765	0.027777778
X	154411524	TAFAZZIN	0.04	0.107142857	0
X	154428633	ATP6AP1	0.032258065	0	0.028571429
X	154436913	GDI1	0.037037037	0	0
X	154444141	FAM50A	0	0	0
X	154458281	PLXNA3	0	0	0
X	154477775	LAGE3	0	0.090909091	0.047619048
X	154483717	UBL4A	0.083333333	0	0
X	154487306	SLC10A3	0	0.035714286	0
X	154506159	FAM3A	0	0.111111111	0.054054054
X	154517825	G6PD	0	0.055555556	0
X	154541199	IKBKG	0	0.0625	0
X	154651972	CTAG2	0	0	0
X	154675249	GAB3	0.088235294	0.025641026	0
X	154762742	DKC1	0.037037037	0.057142857	0.058823529
X	154778684	MPP1	0	0.081081081	0
X	154823348	SMIM9	0.04	0	0
X	154835788	F8	0.060606061	0.054054054	0.256410256
X	155025980	FUNDC2	0.064516129	0.108108108	0.052631579
X	155061622	CMC4	0	0	0.060606061
X	155064034	MTCP1	0.032258065	0.026315789	0
X	155071420	BRCC3	0.033333333	0.026315789	0
X	155197007	VBP1	0.034482759	0.083333333	0
X	155258235	RAB39B	0	0.064516129	0
X	155276211	CLIC2	0.28125	0.055555556	0.263157895
X	155489011	TMLHE	0.03030303	0.052631579	0.051282051
X	155612572	SPRY3	0.029411765	0.025641026	0.075
X	155881345	VAMP7	0	0.105263158	0.025
X	155997696	IL9R	0	0.026315789	0
